2026-07-08 19:18:37,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:18:41,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:18:58,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:19:55,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:20:03,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:20:39,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:20:43,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:20:49,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:20:58,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:21:44,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:21:49,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:21:57,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:06,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:12,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:31,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:35,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:40,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:54,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:22:58,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:03,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:08,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:12,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:18,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:22,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:31,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:49,New Process Detected,sppsvc.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:51,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:57,New Process Detected,browserhost.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:23:57,New Process Detected,mc-extn-browserhost.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:24:19,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:24:41,New Process Detected,smartscreen.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:24:58,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:25:16,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:25:34,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:26:12,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:26:30,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:27:06,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:27:44,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:28:10,New Process Detected,MoUsoCoreWorker.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:28:10,New Process Detected,OfficeC2RClient.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:28:12,New Process Detected,sppsvc.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:28:18,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:28:34,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:29:27,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:29:39,New Process Detected,Zoom.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:30:17,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:30:33,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:30:39,New Process Detected,HxTsr.exe,LOW,N/A,No MITRE Mapping
2026-07-08 19:30:49,New Process Detected,SECOCL64.exe,LOW,N/A,No MITRE Mapping
